,f1,precision,fitness,simplicity,generalization,n_clusters
0,0.7121756038246728,0.6615842320565266,0.7711450993442971,0.6103896103896105,0.6479677219767559,1
1,0.6850597147877214,0.6222392932590743,0.7619890824405122,0.6103896103896105,0.5958444191491081,1
2,0.6816237862762878,0.6082729523984225,0.7750909871701919,0.6103896103896105,0.6028697560285675,1
3,0.6938574818765002,0.6353226589034449,0.7642730183010107,0.6103896103896105,0.580140594224289,1
4,0.7035903389348281,0.6513439813011297,0.7649493412466286,0.6103896103896105,0.6097377104572367,1
5,0.6747225606353873,0.6035073968844911,0.764993420608678,0.6202531645569621,0.5780795184556626,1
6,0.6833294863236458,0.6144624167459563,0.7695818701157384,0.6103896103896105,0.5741579701706448,1
7,0.6906165236170725,0.6244512935462782,0.7724648880404169,0.6103896103896105,0.5744102174003489,1
8,0.6866478343403463,0.6210140156147117,0.7677946230445262,0.6103896103896105,0.5606886151557608,1
9,0.8104661426821564,0.8055918901242642,0.8153997378519342,0.6666666666666666,0.6123183857791045,1
10,0.6997690140395604,0.6412503651767456,0.7700406949370502,0.6202531645569621,0.6089494587070442,1
11,0.7372509015997564,0.6925503765520049,0.7881199452784999,0.631578947368421,0.5452911439704218,1
12,0.7009173780020774,0.6476133172884075,0.7637832042683902,0.6103896103896105,0.5557364637282639,1
13,0.7112403177609191,0.6665032359286134,0.7624152105859423,0.6000000000000001,0.6859097270658647,1
14,0.6578247405852029,0.5741217583226044,0.7700999944722288,0.6103896103896105,0.5637355788247316,1
15,0.7027018218251828,0.6457564575645757,0.770661837635839,0.6103896103896105,0.5863210841098496,1
16,0.6816441570123518,0.6072940117064385,0.7767392417219057,0.6103896103896105,0.5761071090908081,1
17,0.6944339561132047,0.6309489883157595,0.7721236699051585,0.6103896103896105,0.5904634488490137,1
18,0.7097828903891042,0.665007806401249,0.7610226708486921,0.6103896103896105,0.6307763098104642,1
19,0.6878186622919324,0.6280155642023346,0.7602100464695885,0.6103896103896105,0.5851227859980869,1
20,0.6982807993692202,0.6445685279187817,0.7617585867900227,0.6103896103896105,0.5342341912311719,1
21,0.7052012420283906,0.6519273286551956,0.7679568012876539,0.6103896103896105,0.5811006502087255,1
22,0.7050711602847515,0.6521578412346364,0.7673289763782192,0.6103896103896105,0.6363611200541044,1
23,0.6898000819030754,0.6227272727272728,0.773065550459241,0.6103896103896105,0.5798510204950877,1
24,0.6905579206698691,0.6282330648981526,0.7666107541747994,0.6103896103896105,0.5827334964580213,1
25,0.8103043993845428,0.8097440132122214,0.8108655617284317,0.6666666666666666,0.607199650298406,1
26,0.6847474670428917,0.6168850359570486,0.7693862913483224,0.6202531645569621,0.60565962026509,1
27,0.6905598825979737,0.6275534441805226,0.7676300260445084,0.6103896103896105,0.6323041507547522,1
28,0.6984273478022401,0.6379697139652272,0.7715431601083819,0.6103896103896105,0.5757845246917308,1
29,0.6771867794397698,0.6012728278915329,0.775039745627981,0.6103896103896105,0.5824220534989162,1
30,0.7117578359234058,0.6779835390946503,0.7490735384055934,0.6103896103896105,0.5601088065233295,1
31,0.6826219546345037,0.6184948352188884,0.7615850297788392,0.6103896103896105,0.5524932039769855,1
32,0.7021409715654102,0.6486830510134143,0.7652011388085975,0.6103896103896105,0.6272954411659255,1
33,0.6841922636605874,0.6115350488021296,0.7764423084276508,0.6103896103896105,0.6090993524554307,1
34,0.7088974266060186,0.6401596262409968,0.7941725203856855,0.631578947368421,0.5963278694551182,1
35,0.6780137373900974,0.6064796905222437,0.7686791480590863,0.6103896103896105,0.5863804703329834,1
36,0.664133897287638,0.5821975749600526,0.7729104391254971,0.6103896103896105,0.596226770554936,1
